Purpose,Sector,Instrument,Action,Price,Lots/grams,Total Spend,Action Date,Notes,Approach
Long Term Investing,Stock,INCI,BUY,585,9,"Rp526,500.00",11 Jul 2025,INCIINTAN WIJAYA INTERNATIONALD,Deep Value
Long Term Investing,Stock,KSIX,BUY,198,26,"Rp514,800.00",11 Jul 2025,KSIXKENTANIX SUPRA INTERNATIONAL TBKD,Deep Value
Long Term Investing,Stock,TAPG,BUY,1120,2,"Rp224,000.00",11 Jul 2025,TAPGTRIPUTRA AGRO PERSADA TBKD,Dividend - Growth Value
Long Term Investing,Stock,UNTR,SELL,"24,100",2,"Rp4,820,000.00",24 Jul 2025,UNTRDUNITED TRACTORS,
Long Term Investing,Stock,ASII,SELL,"4,950",34,"Rp16,830,000.00",25 Jul 2025,ASIIDASTRA INTERNATIONAL,
Long Term Investing,Stock,CMRY,SELL,"4,950",1,"Rp495,000.00",29 Jul 2025,CMRYCISARUA MOUNTAIN DAIRY TBKD,
Long Term Investing,Stock,DPNS,BUY,244,7,"Rp170,800.00",4 Aug 2025,DPNSDUTA PERTIWI NUSANTARAD,Deep - Growth Value
Long Term Investing,Stock,LPIN,BUY,396,185,"Rp7,326,000.00",4 Aug 2025,LPINMULTI PRIMA SEJAHTERA TBKD,Dividend - Deep Value
Long Term Investing,Stock,SPY,BUY,"Rp10,320,619",0.00047960259,"Rp494,979.57",4 Aug 2025,SPDR S&P 500 ETF,
Long Term Investing,Stock,LPIN,BUY,398,2,"Rp79,600.00",5 Aug 2025,LPINMULTI PRIMA SEJAHTERA TBKD,Dividend - Deep Value
Long Term Investing,Stock,LPIN,BUY,400,9,"Rp360,000.00",5 Aug 2025,LPINMULTI PRIMA SEJAHTERA TBKD,Dividend - Deep Value
Long Term Investing,Stock,SCCO,BUY,2350,5,"Rp1,175,000.00",5 Aug 2025,SCCOSUCACO(SUPREME CABLE MANUFACTURING)D,Deep Value
Long Term Investing,Stock,LPLI,BUY,282,35,"Rp987,000.00",5 Aug 2025,LPLISTAR PACIFIC TBKD,Deep Value
Long Term Investing,Stock,LPLI,BUY,286,8,"Rp228,800.00",5 Aug 2025,LPLISTAR PACIFIC TBKD,Deep Value
Long Term Investing,Stock,LPLI,BUY,288,2,"Rp57,600.00",5 Aug 2025,LPLISTAR PACIFIC TBKD,Deep Value
Long Term Investing,Stock,INCI,BUY,590,21,"Rp1,239,000.00",5 Aug 2025,INCIINTAN WIJAYA INTERNATIONALD,Deep Value
Long Term Investing,Stock,KSIX,BUY,200,31,"Rp620,000.00",5 Aug 2025,KSIXKENTANIX SUPRA INTERNATIONAL TBKD,Deep Value
