Purpose,Sector,Instrument,Action,Price,Lots/grams,Total Spend,Action Date,Notes,Approach
Long Term Investing,Stock,ASGR,BUY,1495,2,"Rp299,000.00",26 May 2026,https://www.tradingview.com/symbols/IDX-ASGR/,Growth Value
Long Term Investing,Stock,AUTO,BUY,2500,1,"Rp250,000.00",26 May 2026,https://www.tradingview.com/symbols/IDX-AUTO/,Growth Value
Long Term Investing,Stock,BAYU,BUY,1165,3,"Rp349,500.00",26 May 2026,https://www.tradingview.com/symbols/IDX-BAYU/,Growth Value
Long Term Investing,Stock,BUKA,BUY,128,30,"Rp384,000.00",26 May 2026,BUKABUKALAPAK.COM TBKD,Deep Value
Long Term Investing,Stock,DIVA,BUY,134,29,"Rp388,600.00",26 May 2026,DIVADISTRIBUSI VOUCHER NUSANTARA TBKD,Deep Value
Long Term Investing,Stock,IGAR,BUY,448,8,"Rp358,400.00",26 May 2026,https://www.tradingview.com/symbols/IDX-IGAR/,Growth Value
Long Term Investing,Stock,INCI,BUY,695,5,"Rp347,500.00",26 May 2026,INCIINTAN WIJAYA INTERNATIONALD,Deep Value
Long Term Investing,Stock,LPIN,BUY,408,9,"Rp367,200.00",26 May 2026,https://www.tradingview.com/symbols/IDX-LPIN/,Dividend Value
Long Term Investing,Stock,LPKR,BUY,70,55,"Rp385,000.00",26 May 2026,LPKRLIPPO KARAWACID,Deep Value
Long Term Investing,Stock,LPLI,BUY,250,15,"Rp375,000.00",26 May 2026,LPLISTAR PACIFIC TBKD ,Deep Value
Long Term Investing,Stock,RIGS,BUY,695,5,"Rp347,500.00",26 May 2026,https://www.tradingview.com/symbols/IDX-RIGS/,Growth Value
Long Term Investing,Stock,SCCO,BUY,2390,1,"Rp239,000.00",26 May 2026,SCCOSUCACO(SUPREME CABLE MANUFACTURING)D,Deep Value
Long Term Investing,Stock,UCID,BUY,396,10,"Rp396,000.00",26 May 2026,UCIDPT Uni-Charm Indonesia TbkD,Deep Value
Long Term Investing,Stock,ASGR,BUY,1420,1,"Rp142,000.00",10 Jun 2026,https://www.tradingview.com/symbols/IDX-ASGR/,Growth Value
Long Term Investing,Stock,AUTO,BUY,2430,1,"Rp243,000.00",10 Jun 2026,https://www.tradingview.com/symbols/IDX-AUTO/,Growth Value
Long Term Investing,Stock,BAYU,BUY,1065,1,"Rp106,500.00",10 Jun 2026,https://www.tradingview.com/symbols/IDX-BAYU/,Growth Value
Long Term Investing,Stock,BUKA,BUY,116,10,"Rp116,000.00",10 Jun 2026,BUKABUKALAPAK.COM TBKD,Deep Value
Long Term Investing,Stock,DIVA,BUY,103,10,"Rp103,000.00",10 Jun 2026,DIVADISTRIBUSI VOUCHER NUSANTARA TBKD,Deep Value
Long Term Investing,Stock,IGAR,BUY,424,3,"Rp127,200.00",10 Jun 2026,https://www.tradingview.com/symbols/IDX-IGAR/,Growth Value
Long Term Investing,Stock,INCI,BUY,610,2,"Rp122,000.00",10 Jun 2026,INCIINTAN WIJAYA INTERNATIONALD,Deep Value
Long Term Investing,Stock,LPIN,BUY,386,3,"Rp115,800.00",10 Jun 2026,https://www.tradingview.com/symbols/IDX-LPIN/,Dividend Value
Long Term Investing,Stock,LPKR,BUY,65,20,"Rp130,000.00",10 Jun 2026,LPKRLIPPO KARAWACID,Deep Value
Long Term Investing,Stock,LPLI,BUY,246,5,"Rp123,000.00",10 Jun 2026,LPLISTAR PACIFIC TBKD ,Deep Value
Long Term Investing,Stock,PUDP,BUY,290,4,"Rp116,000.00",10 Jun 2026,PUDPPUDJIADI PRESTIGED,Deep Value
Long Term Investing,Stock,RIGS,BUY,665,2,"Rp133,000.00",10 Jun 2026,https://www.tradingview.com/symbols/IDX-RIGS/,Growth Value
Long Term Investing,Stock,SCCO,BUY,2220,1,"Rp222,000.00",10 Jun 2026,SCCOSUCACO(SUPREME CABLE MANUFACTURING)D,Deep Value
Long Term Investing,Stock,UCID,BUY,368,4,"Rp147,200.00",10 Jun 2026,UCIDPT Uni-Charm Indonesia TbkD,Deep Value
Long Term Investing,Stock,ASGR,BUY,1445,1,"Rp144,500.00",11 Jun 2026,https://www.tradingview.com/symbols/IDX-ASGR/,Growth Value
Long Term Investing,Stock,AUTO,BUY,2400,1,"Rp240,000.00",11 Jun 2026,https://www.tradingview.com/symbols/IDX-AUTO/,Growth Value
Long Term Investing,Stock,BAYU,BUY,1080,1,"Rp108,000.00",11 Jun 2026,https://www.tradingview.com/symbols/IDX-BAYU/,Growth Value
Long Term Investing,Stock,BUKA,BUY,115,9,"Rp103,500.00",11 Jun 2026,BUKABUKALAPAK.COM TBKD,Deep Value
Long Term Investing,Stock,DIVA,BUY,106,10,"Rp106,000.00",11 Jun 2026,DIVADISTRIBUSI VOUCHER NUSANTARA TBKD,Deep Value
Long Term Investing,Stock,IGAR,BUY,418,3,"Rp125,400.00",11 Jun 2026,https://www.tradingview.com/symbols/IDX-IGAR/,Growth Value
Long Term Investing,Stock,INCI,BUY,610,2,"Rp122,000.00",11 Jun 2026,INCIINTAN WIJAYA INTERNATIONALD,Deep Value
Long Term Investing,Stock,LPIN,BUY,390,3,"Rp117,000.00",11 Jun 2026,https://www.tradingview.com/symbols/IDX-LPIN/,Dividend Value
Long Term Investing,Stock,LPKR,BUY,61,20,"Rp122,000.00",11 Jun 2026,LPKRLIPPO KARAWACID,Deep Value
Long Term Investing,Stock,LPLI,BUY,240,5,"Rp120,000.00",11 Jun 2026,LPLISTAR PACIFIC TBKD ,Deep Value
Long Term Investing,Stock,PUDP,BUY,288,3,"Rp86,400.00",11 Jun 2026,PUDPPUDJIADI PRESTIGED,Deep Value
Long Term Investing,Stock,RIGS,BUY,655,1,"Rp65,500.00",11 Jun 2026,https://www.tradingview.com/symbols/IDX-RIGS/,Growth Value
Long Term Investing,Stock,SCCO,BUY,2250,1,"Rp225,000.00",11 Jun 2026,SCCOSUCACO(SUPREME CABLE MANUFACTURING)D,Deep Value
Long Term Investing,Stock,UCID,BUY,370,3,"Rp111,000.00",11 Jun 2026,UCIDPT Uni-Charm Indonesia TbkD,Deep Value
Long Term Investing,Stock,ASGR,BUY,1500,1,"Rp150,000.00",12 Jun 2026,https://www.tradingview.com/symbols/IDX-ASGR/,Growth Value
Long Term Investing,Stock,AUTO,BUY,2400,1,"Rp240,000.00",12 Jun 2026,https://www.tradingview.com/symbols/IDX-AUTO/,Growth Value
Long Term Investing,Stock,BAYU,BUY,1120,1,"Rp112,000.00",12 Jun 2026,https://www.tradingview.com/symbols/IDX-BAYU/,Growth Value
Long Term Investing,Stock,BUKA,BUY,114,10,"Rp114,000.00",12 Jun 2026,BUKABUKALAPAK.COM TBKD,Deep Value
Long Term Investing,Stock,DIVA,BUY,109,10,"Rp109,000.00",12 Jun 2026,DIVADISTRIBUSI VOUCHER NUSANTARA TBKD,Deep Value
Long Term Investing,Stock,IGAR,BUY,424,3,"Rp127,200.00",12 Jun 2026,https://www.tradingview.com/symbols/IDX-IGAR/,Growth Value
Long Term Investing,Stock,INCI,BUY,635,2,"Rp127,000.00",12 Jun 2026,INCIINTAN WIJAYA INTERNATIONALD,Deep Value
Long Term Investing,Stock,LPIN,BUY,396,3,"Rp118,800.00",12 Jun 2026,https://www.tradingview.com/symbols/IDX-LPIN/,Dividend Value
Long Term Investing,Stock,LPKR,BUY,64,20,"Rp128,000.00",12 Jun 2026,LPKRLIPPO KARAWACID,Deep Value
Long Term Investing,Stock,LPLI,BUY,240,5,"Rp120,000.00",12 Jun 2026,LPLISTAR PACIFIC TBKD ,Deep Value
Long Term Investing,Stock,PUDP,BUY,292,3,"Rp87,600.00",12 Jun 2026,PUDPPUDJIADI PRESTIGED,Deep Value
Long Term Investing,Stock,RIGS,BUY,675,2,"Rp135,000.00",12 Jun 2026,https://www.tradingview.com/symbols/IDX-RIGS/,Growth Value
Long Term Investing,Stock,SCCO,BUY,2280,1,"Rp228,000.00",12 Jun 2026,SCCOSUCACO(SUPREME CABLE MANUFACTURING)D,Deep Value
Long Term Investing,Stock,UCID,BUY,386,3,"Rp115,800.00",12 Jun 2026,UCIDPT Uni-Charm Indonesia TbkD,Deep Value
